Item id,Name,Brand,Category,Item Url,Final price,Final price currency,Base price,Base price currency,Picture url,Category id
3205051,New Balance MS327IA,New Balance,Seria 327,https://nbsklep.pl//new_balance_ms327ia,399.99,PLN,399.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/56b81ce8aa0eca7e69f0e5eed2fe1104,13914
3204646,New Balance MS327PBA,New Balance,Seria 327,https://nbsklep.pl//new_balance_ms327pba,399.99,PLN,399.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/88459a4837e886fac5f4866effd515ec,13914
3204004,New Balance MS327CPE,New Balance,Seria 327,https://nbsklep.pl//new_balance_ms327cpe,369.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/ms327cpe_2,13914
3204003,New Balance MS327CPD,New Balance,Seria 327,https://nbsklep.pl//new_balance_ms327cpd,369.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/ms327cpd_2,13914
3203972,New Balance MS327CPG,New Balance,Seria 327,https://nbsklep.pl//new_balance_ms327cpg,369.99,PLN,369.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/ms327cpg_2,13914
3203635,New Balance MS327CPB,New Balance,Seria 327,https://nbsklep.pl//new_balance_ms327cpb,269.99,PLN,399.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/ms327cpb_2,13914
3206264,New Balance ML574RS2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574rs2,349.99,PLN,349.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/50652e53b1bec02d0c4c9658c2631127,13164
3206263,New Balance ML574RP2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574rp2,349.99,PLN,349.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/70ef093fa2d895669ff6e1ca8b195cb6,13164
3206262,New Balance ML574RO2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574ro2,349.99,PLN,349.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/8c9b5ae596be848879e055d04e4ee649,13164
3206261,New Balance ML574RC2,New Balance,Seria 574,https://nbsklep.pl//new_balance_ml574rc2,349.99,PLN,349.99,PLN,https://nbsklep.pl/picture/fit-in/400x360/filters:fill(white)/678409503bd08b9d3a9ba2887268f7e1,13164
